held,type,driver_name,driver_team,qualifying_position,finishing_position
0,driver,M. Verstappen,RBR,,
0,driver,G. Russell,MER,,
0,driver,L. Norris,MCL,,
0,driver,O. Piastri,MCL,,
1,driver,K. Antonelli,MER,,
0,driver,C. Leclerc,FER,,
0,driver,F. Alonso,AMR,,
1,driver,L. Hamilton,FER,,
0,driver,I. Hadjar,RBR,,
0,driver,P. Gasly,ALP,,
0,driver,L. Stroll,AMR,,
0,driver,C. Sainz Jr,WIL,,
0,driver,L. Lawson,RBS,,
0,driver,A. Albon,WIL,,
0,driver,N. Hulkenberg,AUD,,
0,driver,G. Bortoleto,AUD,,
1,driver,O. Bearman,HAS,,
1,driver,E. Ocon,HAS,,
0,driver,V. Bottas,CAD,,
0,driver,S. Perez,CAD,,
1,driver,F. Colapinto,ALP,,
0,driver,A. Lindblad,RBS,,
0,team,MER,,,
0,team,MCL,,,
0,team,RBR,,,
0,team,FER,,,
0,team,AMR,,,
0,team,WIL,,,
0,team,RBS,,,
0,team,ALP,,,
1,team,AUD,,,
0,team,CAD,,,
0,team,HAS,,,